PID,Address,LotArea,FullBath,BedroomAbvGr,finishedsqft,DateSold,MoSold,YrSold,price,Neighborhood,totalrooms,BldgType,YrBuilt, zestimate ,zindexvalue,Zipcode,Longitude,Latitude
1,1160 Mission St UNIT 2007,43557,2,2,1043,2/17/2016,2,2016,1300000,South of Market,4,Condominium,2007,"1,167,508.00","975,700",94103,-122.412635,37.778705
2,260 King St UNIT 475,213232,1,1,903,2/17/2016,2,2016,750000,South of Market,3,Condominium,2004,"823,719.00","975,700",94107,-122.393417,37.777641
3,560 Missouri St # B,2496,4,3,1425,2/17/2016,2,2016,1495000,Potrero Hill,6,Condominium,2003,"1,708,594.00","1,277,600",94107,-122.396516,37.759198
4,350 Missouri St,2469,3,3,2231,2/17/2016,2,2016,2700000,Potrero Hill,10,SingleFamily,1927,"2,411,236.00","1,277,600",94107,-122.396769,37.761886
5,3658 Folsom St,1750,3,3,1300,2/17/2016,2,2016,1530000,Bernal Heights,4,SingleFamily,1900,"1,918,539.00","1,248,000",94110,-122.413453,37.740795
6,156 Lowell St,3000,1,2,1250,2/17/2016,2,2016,460000,Crocker Amazon,5,SingleFamily,1924,"703,392.00","823,000",94112,-122.446027,37.710226
7,735 Lakeview Ave,2495,1,3,1032,2/17/2016,2,2016,532000,Oceanview,6,SingleFamily,1939,"741,715.00","762,700",94112,-122.460332,37.718024
8,430 Capistrano Ave,3136,1,2,1200,2/17/2016,2,2016,1050000,Mission Terrace,5,SingleFamily,1924,"1,023,650.00","992,600",94112,-122.439273,37.725204
9,4135 23rd St,2944,3.5,4,2700,2/17/2016,2,2016,3500000,Noe Valley,9,SingleFamily,1912,"3,604,950.00","1,782,000",94114,-122.435011,37.752602
10,440 Steiner St,2885,2,3,2016,2/17/2016,2,2016,1500000,Hayes Valley,7,Condominium,1890,"1,547,314.00","1,224,800",94117,-122.432302,37.773237
11,414 Somerset St,2273,1,3,1798,2/17/2016,2,2016,848000,Portola,8,SingleFamily,1953,"933,506.00","888,400",94134,-122.407649,37.726252
12,300 Berry St UNIT 813,41861,1,1,761,2/17/2016,2,2016,1000000,South of Market,4,Condominium,2008,"931,039.00","975,700",94158,-122.39624,37.773929
13,370 Church St APT F,18656,1,1,780,8/12/2015,8,2015,863000,Eureka Valley - Dolores Heights - Castro,4,Condominium,1981,"847,894.00","1,744,100",94114,-122.429077,37.765062
14,10 22nd Ave,13812,5,5,5786,2/16/2016,2,2016,4888000,Lake,12,SingleFamily,1926,"7,159,444.00","2,244,500",94121,-122.481741,37.787088
15,1847 10th Ave,3000,2,2,1688,2/16/2016,2,2016,1000000,Inner Sunset,6,SingleFamily,1927,"1,106,369.00","1,357,900",94122,-122.466995,37.753756
